step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
50.0,0.28900000000000003,1.6400000000000001,-1.72,0.3430000000000001,0.3790000000000001,0.40977228288282014,0.44160555619154,0.2065573115830341,0.15182029891021576,0.13040232575680136,0.12060865434107129,0.11593342351330045,0.1133687082795627,0.11035430585226304,0.10480137227133032
50.0,0.16300000000000003,-1.4,1.6400000000000001,0.32500000000000007,0.33100000000000007,0.9501022402731174,1.009570969208642,0.5565235307560242,0.43548068761671155,0.3827396097754583,0.35509276095181663,0.339106373458423,0.3287652099190233,0.31942015010854846,0.3074228952556828
50.0,0.355,-1.24,-0.43999999999999995,0.28900000000000003,0.28900000000000003,0.5808875829411966,0.7183262777905318,0.06450368853347982,0.022732779307684206,0.012723868523420211,0.008960010745152385,0.007146963376605328,0.006032792893825149,0.005086203803898961,0.004106116468903837
50.0,0.3670000000000001,0.20000000000000018,-0.9199999999999999,0.24700000000000003,0.115,0.6454314156692644,0.7573333172848846,0.12685208653524294,0.0538269822998377,0.031168391516679595,0.02145603724440844,0.016486814189828405,0.01334332068551386,0.010514530910674818,0.007387034219978486
50.0,0.3490000000000001,0.6800000000000002,0.52,0.10900000000000001,0.229,0.6423098912229944,0.7677458725512948,0.10440009334473781,0.041984075685353485,0.024330109742199294,0.01708247255773283,0.013434119620459439,0.011151997122417184,0.0091601743569996,0.006993283019767253
50.0,0.15700000000000003,-1.08,-1.32,0.385,0.12100000000000001,0.9420458254761771,0.9964205445741506,0.5769582647327351,0.4611552926353025,0.41016994794047157,0.38335984760576663,0.36786581236788135,0.35786278842189473,0.34878541338888547,0.33701763338214724
50.0,0.3370000000000001,1.08,-1.16,0.29500000000000004,0.355,0.446857249422245,0.5007949576340923,0.1454873028434979,0.08427258540307052,0.06243964004039146,0.05251829656312041,0.04743526877580454,0.04432033883218378,0.041205120278377964,0.03677724366745232
50.0,0.265,-1.0,-1.88,0.3670000000000001,0.3430000000000001,0.5138696310821584,0.5869762175690229,0.13454124112402122,0.06801405582383319,0.0453368581338877,0.035123284948698374,0.029808868435891908,0.026481602974263545,0.023342210334915448,0.01932653647450558
50.0,0.22300000000000003,1.7999999999999998,-1.0,0.24100000000000002,0.385,0.7104406388337982,0.7510754128890117,0.43895609550136794,0.35326715130274816,0.31646353552319306,0.2979950430805305,0.28806943330637624,0.2820994608394881,0.27615037298341294,0.26687659246429035
50.0,0.3730000000000001,-1.6400000000000001,1.3200000000000003,0.127,0.28300000000000003,0.6436276449140929,0.7381353709952528,0.1680289094606323,0.08924537396978888,0.06315603671882856,0.05146051233434019,0.04530021846936249,0.04140666314471999,0.03785636924129023,0.033540253196832404
50.0,0.3790000000000001,0.9199999999999999,-1.96,0.229,0.18100000000000002,0.5463104761387146,0.6401477594280763,0.10796708359159571,0.04730723807953948,0.029001895209816195,0.02133337620926819,0.01747380197162458,0.015041620350475347,0.012834878978307773,0.010361036821895413
50.0,0.10300000000000001,-1.56,-1.56,0.199,0.21100000000000002,0.9527270622868274,0.9693252239724428,0.828493230654502,0.7773648108976966,0.7522706382221319,0.7384579685552255,0.7304326025790365,0.7253925666681602,0.7206554366927407,0.7136995462024849
50.0,0.3430000000000001,-0.1200000000000001,0.3599999999999999,0.115,0.14500000000000002,0.6057384934147265,0.6978756559264205,0.14993905549360909,0.07788430210942185,0.05462428205177857,0.04436559033008119,0.03901860277233653,0.035652527046921886,0.032578903340077715,0.028844034304180987
50.0,0.14500000000000002,0.52,-0.3599999999999999,0.23500000000000004,0.31300000000000006,0.9092638977714051,0.9356086867578204,0.7189087807746257,0.6460392689585681,0.6115197139030368,0.5929371093838577,0.5823108257705296,0.5756817793009551,0.5694050217307087,0.560162737501887
