step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
50.0,0.33100000000000007,-1.56,0.20000000000000018,0.271,0.385,0.6916602135638417,0.8402920467985056,0.09557531562993718,0.03814170005858174,0.023189044521468066,0.01726606746224141,0.014322233341459805,0.01249942309184176,0.010938501928325059,0.009259103351411635
50.0,0.3430000000000001,1.7200000000000002,-0.6799999999999999,0.30700000000000005,0.10300000000000001,0.6642635557969903,0.7391908751892465,0.24187543908501258,0.15166300332628455,0.11855627057887987,0.10297043339814277,0.09461320040739528,0.08936122605577693,0.08445593477449208,0.07804212024202561
50.0,0.28900000000000003,-0.6799999999999999,1.56,0.22300000000000003,0.31300000000000006,0.8039859214707671,0.9023078540116939,0.26778372140757134,0.1584723291618121,0.11821467644430296,0.09889527095593241,0.088266724029211,0.08148985268494881,0.07536590592442519,0.06772818714311218
50.0,0.355,-0.040000000000000036,0.52,0.15100000000000002,0.277,0.6371409370982627,0.7433400307362942,0.13707780088857252,0.06576072619113749,0.04365834481662978,0.034092036387464844,0.029137577408133306,0.02601886788806969,0.02322190311996226,0.019946738952401174
50.0,0.28300000000000003,1.88,1.7200000000000002,0.265,0.24100000000000002,0.7648169339631344,0.828841802929449,0.3704493097145658,0.26643844612450795,0.22464044263207036,0.20396871231895525,0.1925852783551662,0.1854122834349635,0.17870866994232226,0.16968967709110505
50.0,0.259,-0.28,1.88,0.127,0.115,0.5964287785056519,0.6488138452076511,0.2775435941278801,0.19684895309761907,0.16536430185306508,0.15029914325159924,0.14233354868457115,0.13744996149810731,0.13262861875242835,0.12561231316477847
50.0,0.3730000000000001,0.43999999999999995,0.6000000000000001,0.24100000000000002,0.20500000000000002,0.5782713364648198,0.6783789839237013,0.11624123012380677,0.053852460624295134,0.03509685150292405,0.027155774678134514,0.023102978942698214,0.02055421559378597,0.01825615281663605,0.01559860257125884
50.0,0.3490000000000001,-0.9199999999999999,0.1200000000000001,0.199,0.3370000000000001,0.6276295188361829,0.7344996887711587,0.12920620884216394,0.05939395007746548,0.03777041164860968,0.02840415885238638,0.0235511374339089,0.020492374246296272,0.017750692683160416,0.014557272503709763
50.0,0.361,0.9199999999999999,0.43999999999999995,0.253,0.32500000000000007,0.62585339972976,0.7202848574123277,0.15720297907140005,0.08204019512244752,0.05760736861150988,0.04677978728800254,0.04111781112450189,0.03755316233039276,0.03430701074464306,0.030360423032319252
50.0,0.21700000000000003,0.8399999999999999,1.08,0.277,0.355,0.8732764967960918,0.9230038253485465,0.5404729555026556,0.4344530540427442,0.3880023575238713,0.36384996083510873,0.350131350256816,0.34141669920072737,0.33333489611613426,0.32234548969922355
50.0,0.229,0.040000000000000036,-0.8399999999999999,0.30100000000000005,0.391,0.7227770666131024,0.7749566269714069,0.3880972526227595,0.29283110595926526,0.25342761516981277,0.23381302272818613,0.22311523840603162,0.21648874199884885,0.21011960015141784,0.200996799711396
50.0,0.3670000000000001,1.96,-0.9199999999999999,0.10900000000000001,0.127,0.684420489534389,0.9293289091636722,0.02730322159052526,0.005233970969855209,0.0018587878264961003,0.0009092701071120425,0.0005315609618005045,0.0003291145758476649,0.00019356215936443583,0.00010015457571974352
50.0,0.253,1.56,-1.0,0.361,0.14500000000000002,0.7852769545344258,0.8332341126843607,0.468013592719157,0.3699850116803033,0.3278647188888274,0.30640511394069164,0.2945160531374007,0.28712043912304697,0.2800691379852931,0.2699628089217427
50.0,0.115,1.7999999999999998,0.8399999999999999,0.18700000000000003,0.3490000000000001,0.9616291877433241,0.9805470271308232,0.8217560581744942,0.7646902919651289,0.7366957054254449,0.7212025104325662,0.7120976072232943,0.7062924436763082,0.7009040927946201,0.6932818965776393
50.0,0.199,0.28000000000000025,-1.24,0.169,0.18700000000000003,0.8506957025142114,0.8989914792744063,0.5265922302205561,0.42296878426753903,0.3774837919780614,0.35386365501611167,0.34051130086001113,0.33208498140106274,0.32420682483458735,0.3132667629605628
50.0,0.22300000000000003,0.1200000000000001,-1.6400000000000001,0.229,0.259,0.7414104900926737,0.7922449069074753,0.4110740616772006,0.31354878801708713,0.2723519039984948,0.2515700524586729,0.24014956053272532,0.2330845627265823,0.2263073569893797,0.21648937836517063
50.0,0.277,-1.24,-0.6000000000000001,0.29500000000000004,0.169,0.7600974478788547,0.8725107971163945,0.19665767582660174,0.10288729728421228,0.07149156357460024,0.05725526753896272,0.0496734515197014,0.044866464006097714,0.04056654584850164,0.03548999120560089
50.0,0.31300000000000006,-1.4,-0.19999999999999996,0.391,0.3670000000000001,0.6961554914006478,0.8805684126807193,0.060565694160631435,0.018575132716908825,0.00936389006711834,0.006065106508663549,0.004520072760046531,0.0035906234246558017,0.002839480335716651,0.0021195865836439827
50.0,0.15700000000000003,-0.76,1.48,0.18100000000000002,0.3790000000000001,0.9429994903977791,0.9769114472103636,0.7008762508735281,0.6119680936484019,0.5702754367667303,0.5476896195084842,0.5345085297390724,0.5260521896987803,0.518267622217292,0.5076532168242837
50.0,0.3370000000000001,1.4,0.28000000000000025,0.23500000000000004,0.24700000000000003,0.639266907046663,0.7224518198852439,0.19664184203132237,0.11335399327695633,0.08435365951780081,0.07104761462765724,0.06398680555835895,0.0595434073264414,0.05543323105941553,0.05021628525001851
50.0,0.32500000000000007,-1.0,-1.88,0.3730000000000001,0.21700000000000003,0.6060587200421069,0.7369874838172328,0.08004205934007382,0.02920147248818056,0.015905211579499662,0.010663204821011824,0.00807750031901452,0.0064721736143437325,0.005077045743760295,0.0035757221886267513
50.0,0.271,1.3200000000000003,0.3599999999999999,0.193,0.22300000000000003,0.7533557027093386,0.8267746374815704,0.3198469429274876,0.21599560222865505,0.17587173936531447,0.15638653199355848,0.14572098946455472,0.13898035158377273,0.13274006009484626,0.12457306655634587
50.0,0.397,1.48,-1.08,0.12100000000000001,0.17500000000000002,0.5552000313525376,0.7246148747250465,0.03294656869296517,0.007676972519268586,0.0030912427154770493,0.001665187799766469,0.0010594679292362074,0.0007147152771944496,0.0004627017309585286,0.0002685490026905377
50.0,0.14500000000000002,-1.32,-1.4,0.21100000000000002,0.15700000000000003,0.9304600825001494,0.9625941348972223,0.7000158800025695,0.614857985790137,0.5749160778937351,0.5533473693718519,0.5408362224642721,0.5328650460390943,0.5254738421703337,0.5152067013969601
50.0,0.127,-1.72,1.2400000000000002,0.3790000000000001,0.28300000000000003,0.9714223782221931,1.0240350684787787,0.6134987258494629,0.4969834416322604,0.4448742944753266,0.41713791789814986,0.4009381644465239,0.39041267863551854,0.3809180923378641,0.36873459766307054
50.0,0.265,-1.48,-1.48,0.32500000000000007,0.193,0.7688625113148878,0.8936578414523333,0.17129136638546785,0.07966715220576683,0.04939009016437922,0.03565239796236806,0.028316146532834378,0.023669140617439452,0.019570404073295255,0.01478480030739733
50.0,0.21100000000000002,-1.08,-0.1200000000000001,0.31300000000000006,0.33100000000000007,0.8441376668401157,0.9178382944424913,0.3934225658646494,0.27752666508950014,0.23111694042796904,0.20801083243445997,0.19510867400940257,0.1868811355024762,0.17937060190658663,0.1696921459112642
50.0,0.29500000000000004,-0.3599999999999999,-1.8,0.28300000000000003,0.30100000000000005,0.5098531804169477,0.5740273661740195,0.1592812855426522,0.09140087582252175,0.06757350866636713,0.05673175741657638,0.0510919822290651,0.047582974971559215,0.04419877493593232,0.0396671637079471
50.0,0.18700000000000003,-0.8399999999999999,1.4,0.20500000000000002,0.139,0.8354116517776075,0.8796149589618069,0.535674970645743,0.4377330428997983,0.3944675517019514,0.3720151028846529,0.359397596237002,0.3514976924227389,0.3440312650472471,0.333405635312261
50.0,0.169,0.6800000000000002,-1.16,0.24700000000000003,0.229,0.8714174889780587,0.9042240563951915,0.6397817851950526,0.5559899000945926,0.5173529684449256,0.49689788949832614,0.4853362601875702,0.4781544558176592,0.4713166875513814,0.46124034556012533
50.0,0.385,1.0,0.9199999999999999,0.385,0.361,0.6290684951864205,0.7206361877246724,0.16691360765511368,0.09013777027241451,0.06485523442336781,0.05358177458131261,0.04767068209636271,0.0439486168571823,0.040547910325391255,0.03637981213171652
50.0,0.30100000000000005,1.6400000000000001,-0.76,0.21700000000000003,0.12100000000000001,0.7305472537130102,0.8102032685634835,0.27713038862541156,0.17723073573290737,0.1399973832311815,0.12224813766039805,0.11261715681944577,0.10653178945210263,0.10092449154937064,0.09371099002215062
50.0,0.12100000000000001,0.7600000000000002,1.7999999999999998,0.139,0.3730000000000001,0.9691954986064949,0.9925623272390293,0.7974259283802352,0.7292434060613687,0.6960945079387684,0.6777511805060972,0.6668973407259001,0.6598962231787106,0.6534683599035335,0.6446873643106827
50.0,0.24100000000000002,0.52,-0.28,0.15700000000000003,0.10900000000000001,0.8100401746449647,0.8776999441428556,0.39206487287611325,0.2814668030413599,0.23678103649438628,0.21451748286360015,0.20214154892594835,0.19429135872645262,0.18704523935289735,0.17749355029685104
50.0,0.30700000000000005,-1.16,-0.040000000000000036,0.10300000000000001,0.18100000000000002,0.6740577001407598,0.7403671985375493,0.281326089017312,0.18751035666717888,0.1511789366625078,0.13358131994873898,0.12403680464009349,0.11806278037274105,0.11241224724803982,0.10470613782778097
50.0,0.193,1.1600000000000001,1.0,0.33100000000000007,0.30700000000000005,0.8871473911697845,0.9230953661158835,0.6353040996894896,0.5458008375856431,0.5047333571131717,0.48294176881724177,0.4705167269735718,0.46270201246296394,0.45535739073916404,0.4448913138051176
50.0,0.10300000000000001,-1.88,-1.32,0.16300000000000003,0.271,0.9407856929871333,0.9547519017582635,0.8361664525543897,0.7925798291711003,0.7712186121370312,0.7595884243482984,0.7529747101537573,0.7489397189137476,0.7450570762364755,0.738969170957589
50.0,0.17500000000000002,-1.96,-1.96,0.28900000000000003,0.28900000000000003,0.8041966168762215,0.8664788149085245,0.40923381830074046,0.2992862259384515,0.25342699044119155,0.23014223872480757,0.21709448695064185,0.20885203635697222,0.20118554496863,0.19073269436008952
50.0,0.16300000000000003,0.3599999999999999,-0.3599999999999999,0.115,0.199,0.9002144225941988,0.9378413962730315,0.63692112150344,0.5439617319210359,0.5013188754377393,0.4786207332071218,0.4655994019427304,0.45735264160829664,0.44966230883618014,0.43890309523556276
50.0,0.23500000000000004,0.6000000000000001,0.040000000000000036,0.3370000000000001,0.31900000000000006,0.7996935447303574,0.8521084143030694,0.45754910739864335,0.3551922342644478,0.3117623735194903,0.28970350541162254,0.27743169736999074,0.26973260324936577,0.26247549355169697,0.25236988464391175
50.0,0.18100000000000002,-0.52,1.6400000000000001,0.3490000000000001,0.253,0.9108836935066303,0.9620164566326319,0.5668571792793238,0.456678950679582,0.40813240702971837,0.3826994132001016,0.36810692165373826,0.3587538830107269,0.3501801559650181,0.3388059378220137
50.0,0.133,1.2400000000000002,1.96,0.14500000000000002,0.15100000000000002,0.9132282975221825,0.9409490306349141,0.7141680376619225,0.6385482392831172,0.6028119325459642,0.5835596705421725,0.5725105165946899,0.5655787893858782,0.5590489649881535,0.5495749936264878
50.0,0.139,1.08,-1.56,0.31900000000000006,0.133,0.9390718696423317,0.9600132386432959,0.7851403467686141,0.7235637670183004,0.6937435480414169,0.6774491093097236,0.6680174292894974,0.6620918277590929,0.6565210582420572,0.6483902500648137
50.0,0.15100000000000002,0.20000000000000018,1.3200000000000003,0.133,0.3430000000000001,0.9426617285638652,0.9749432878574397,0.7116185742300746,0.6257764624208362,0.5853399963950546,0.5633976391579625,0.5505928378461242,0.5423887279529581,0.5348231096039731,0.5244491417179642
50.0,0.31900000000000006,-0.1200000000000001,0.7600000000000002,0.17500000000000002,0.265,0.704662902973113,0.8006296392392489,0.20492286757631506,0.11471723002725182,0.08364801690088668,0.06938061070050225,0.06175473795880345,0.056931803185359876,0.05255129458909935,0.04715114973971706
50.0,0.20500000000000002,-0.6000000000000001,-0.52,0.259,0.397,0.80790552363816,0.8614379523934104,0.45834615065635315,0.354268536843217,0.3101122632057578,0.28764787480779136,0.27511585313615977,0.26723510396558653,0.25983501324203784,0.2495970527037534
50.0,0.10900000000000001,-0.19999999999999996,-1.72,0.355,0.29500000000000004,0.9180215266709942,0.9355246485242645,0.7887146988341859,0.7362251755794303,0.7108525676394931,0.697176625970603,0.6894707105683524,0.6847993444669901,0.6802721900838122,0.673106015137949
50.0,0.391,-1.8,1.1600000000000001,0.3430000000000001,0.16300000000000003,0.5629864373807704,0.8279076229349653,0.009447818820138806,0.0014228573479982576,0.0005114481656827891,0.0002786100558993589,0.00018738505430198482,0.00013787481560370855,0.00010227766084104127,7.288956749110784e-05
50.0,0.3790000000000001,-1.6400000000000001,0.6800000000000002,0.397,0.21100000000000002,0.6491133614940169,0.9704573581063459,0.008961445711996313,0.0010902444251778055,0.0003069767434806889,0.0001309591842740338,6.944905582402327e-05,3.958862061635697e-05,2.1742649081154242e-05,1.058399959197537e-05
50.0,0.24700000000000003,-0.43999999999999995,-0.43999999999999995,0.3670000000000001,0.23500000000000004,0.77732552026387,0.8541336050588407,0.3247733267061035,0.21779748581680944,0.17660706044860042,0.15658977788010192,0.14559661861943218,0.1386283247677037,0.1322233963893889,0.12394731458519788
55.0,0.31545454545454554,-1.5272727272727273,-0.5818181818181818,0.380909090909091,0.380909090909091,0.6336123380393275,0.8127158469025936,0.04625668908075885,0.012542985323395706,0.0056723680578867446,0.0033401691215174754,0.0022878182279886085,0.0016663706862484347,0.0011848307502947374,0.0007651642893274052
55.0,0.2281818181818182,-1.4545454545454546,1.9636363636363638,0.1572727272727273,0.28272727272727277,0.8681374898887566,0.9265856880425919,0.48777664842130647,0.37507450626767563,0.32711934087947486,0.3025050659142214,0.2885725438991509,0.2796907586183002,0.2715132305180317,0.26064540061161373
55.0,0.21181818181818182,-0.4363636363636365,0.581818181818182,0.16272727272727272,0.3372727272727273,0.863648017358392,0.9171602615261456,0.5100346812446844,0.401398604637788,0.3545414171022866,0.33037264237831604,0.31669560811512887,0.30800504053496913,0.2999577985764622,0.2890987536671403
55.0,0.13,0.6545454545454543,-0.5090909090909093,0.21727272727272728,0.25,0.9279628243385927,0.9499520094788814,0.7669781763568092,0.7032287131017684,0.6725492149567127,0.655881775222746,0.6462971643515905,0.6403117958252948,0.6346535704712689,0.6262937878888902
55.0,0.27181818181818185,0.290909090909091,-0.07272727272727275,0.26636363636363636,0.30454545454545456,0.7371860109423284,0.8077169153919445,0.3173826980116626,0.21575195133262218,0.17630181014995006,0.15712218523565136,0.1466405577286594,0.14003202205996007,0.13387846379482518,0.12572916619663566
55.0,0.34272727272727277,-0.5090909090909093,1.1636363636363631,0.1190909090909091,0.23363636363636367,0.6604204945902585,0.7543127853898277,0.18119782009359883,0.09933047763604393,0.0719559124192202,0.05962503380324686,0.05311336341849432,0.049003495323908734,0.045258997506012956,0.04067879234049298
55.0,0.2772727272727273,-0.290909090909091,1.3090909090909086,0.3372727272727273,0.37,0.8255813757455007,0.920506297540574,0.2960669411988043,0.18341944810782965,0.1415687143880562,0.12145795064820993,0.1103947440221332,0.10333967151916129,0.09697490551217088,0.08907195875510796
